epoch,loss,val_loss
0,71.810809749105701,63.69763022974918
1,56.9731039793595,47.929165957266825
2,43.203447474604069,40.677317769903887
3,39.031058809031613,37.715503625702439
4,36.772296673318614,36.132324084900972
5,35.347498222019361,34.880444710714777
6,34.354177599367887,34.047337649161356
7,34.104611288982888,33.814257638496265
8,33.637247085571289,33.488633005242598
9,33.360022926330565,33.446299368875067
10,33.086549904035486,33.108188829923932
11,32.903444331625231,32.734841463858622
12,32.576467265253484,33.272274017333984
13,32.338312576128089,32.075540375291254
14,31.959689376665199,31.7126499644497
15,31.574474616672681,31.313184169300815
16,32.289510200334632,31.494168900606926
17,31.280530863222868,30.931665152834174
18,31.012970132413116,30.547024643212033
19,30.757817073490308,30.268552679764596
20,30.35610410441523,29.964468236555135
21,29.967050622857137,29.094661076863606
22,29.748981878031856,28.734560481288977
23,29.047700521220332,28.128273779885809
24,28.473116132487423,27.465278625488281
25,27.913889727385147,26.728381274039286
26,27.316382030818772,26.369809401662724
27,26.748771037226138,25.613094296371727
28,26.165119511148205,24.752290257236414
29,25.461546396172565,24.160151464897289
30,24.84885941795681,23.880338233813905
31,24.496637759001359,23.675003018295556
32,23.829280111064083,22.567172636065568
33,23.386358538917872,37.586439701548791
34,24.249574424909508,21.992713760911371
35,22.798657068998917,21.019431064003392
36,22.029069763681164,20.729259357117769
37,21.255691209046738,20.497134125023557
38,20.506868287791377,18.936253564399586
39,19.784821779831596,18.410823621247943
40,19.162821977034859,17.465945394415606
41,18.471779166097225,17.110585480405572
42,17.94124936642854,16.488464941058243
43,17.316716973677927,15.907072820161519
44,16.897217112002167,15.492892415899979
45,16.423261967949244,15.17307482267681
46,15.885338602895322,14.619111981308251
47,15.434306557282158,14.512624054624323
48,15.204477743480517,13.867500606336092
